year,appeal_id,Global cluster,plan_name,Current requirements US$,Funding_fts
2018,642,Multi-sector,Nigeria 2018,0,
2018,642,Nutrition,Nigeria 2018,107061654,128602032
2018,642,Protection,Nigeria 2018,113667378,27461783.8333333
2018,642,Unspecified,Nigeria 2018,0,49300373
2018,642,Water Sanitation Hygiene,Nigeria 2018,48726392,18163677.5
2018,643,Coordination and support services,Niger 2018,11891020,2299660
2018,643,Education,Niger 2018,8060345,1407377
2018,643,Emergency Shelter and NFI,Niger 2018,16631116,9222509.5
2018,643,Food Security,Niger 2018,150274540,93804572
2018,643,Health,Niger 2018,13127352,3443116.5
2018,643,Multi-sector,Niger 2018,32246906,13963733
2018,643,Nutrition,Niger 2018,68924216,22331220.5
2018,643,Protection,Niger 2018,19965988,11457306.5
2018,643,Unspecified,Niger 2018,0,10662537
2018,643,Water Sanitation Hygiene,Niger 2018,17181606,5308943
2018,644,Camp Coordination / Management,Somalia 2018,41709742,9478786.33333333
2018,644,Coordination and support services,Somalia 2018,26248155,13894830
2018,644,Education,Somalia 2018,51267522,23329391.4166667
2018,644,Emergency Shelter and NFI,Somalia 2018,70116595,21502959.3333333
2018,644,Food Security,Somalia 2018,631732080,344715324.5
2018,644,Health,Somalia 2018,124435964,39252120.9166667
2018,644,Logistics,Somalia 2018,9837500,7027616
2018,644,Multi-sector,Somalia 2018,106105196,40048051
2018,644,Nutrition,Somalia 2018,253760785,82092430.1666667
2018,644,Protection,Somalia 2018,97989189,22114663.6666667
2018,644,Unspecified,Somalia 2018,0,232473936
2018,644,Water Sanitation Hygiene,Somalia 2018,129311842,49428327.6666667
2018,645,Coordination and support services,Afghanistan 2018,15900000,24036693
2018,645,Education,Afghanistan 2018,29685000,12611329.3333333
2018,645,Emergency Shelter and NFI,Afghanistan 2018,52975538,26846500
2018,645,Food Security,Afghanistan 2018,2.31e+08,199197819.5
2018,645,Health,Afghanistan 2018,48696240,22054137
2018,645,Logistics,Afghanistan 2018,16390000,12225926
2018,645,Multi-sector,Afghanistan 2018,36400000,4080769
2018,645,Nutrition,Afghanistan 2018,62370635,44829043.5
2018,645,Protection,Afghanistan 2018,66505803,29799577.8333333
2018,645,Unspecified,Afghanistan 2018,0,55971425
2018,645,Water Sanitation Hygiene,Afghanistan 2018,39000782,36218710.8333333
2018,646,Camp Coordination / Management,Republic of South Sudan 2018,18349969,4460875.5
2018,646,Coordination and support services,Republic of South Sudan 2018,19933864,13467511
2018,646,Education,Republic of South Sudan 2018,45112223,57643159
2018,646,Emergency Shelter and NFI,Republic of South Sudan 2018,33865092,9251221
2018,646,Food Security,Republic of South Sudan 2018,727597464,579073702.5
2018,646,Health,Republic of South Sudan 2018,130001395,45561420.3333333
2018,646,Logistics,Republic of South Sudan 2018,95925208,46510872
2018,646,Multi-sector,Republic of South Sudan 2018,2.2e+08,137357637
2018,646,Nutrition,Republic of South Sudan 2018,183389946,118460152.166667
2018,646,Protection,Republic of South Sudan 2018,100007604,62988062
2018,646,Unspecified,Republic of South Sudan 2018,0,50147360
2018,646,Water Sanitation Hygiene,Republic of South Sudan 2018,143707720,64107655.5
2018,648,Coordination and support services,Pakistan Transition Plan: Humanitarian Component 2018,4340108,2759920
2018,648,Education,Pakistan Transition Plan: Humanitarian Component 2018,7e+06,1345190
2018,648,Emergency Shelter and NFI,Pakistan Transition Plan: Humanitarian Component 2018,7597877,649943
2018,648,Food Security,Pakistan Transition Plan: Humanitarian Component 2018,72700001,46159213
2018,648,Health,Pakistan Transition Plan: Humanitarian Component 2018,9968544,1727324
2018,648,Multi-sector,Pakistan Transition Plan: Humanitarian Component 2018,0,
2018,648,Nutrition,Pakistan Transition Plan: Humanitarian Component 2018,9500000,9579666
2018,648,Protection,Pakistan Transition Plan: Humanitarian Component 2018,1729140,
2018,648,Unspecified,Pakistan Transition Plan: Humanitarian Component 2018,0,9648595
2018,648,Water Sanitation Hygiene,Pakistan Transition Plan: Humanitarian Component 2018,10168589,4170679
2018,649,Camp Coordination / Management,Haiti 2018,13695035,
2018,649,Coordination and support services,Haiti 2018,2034828,1115776
2018,649,Early Recovery,Haiti 2018,10755097,59737
2018,649,Education,Haiti 2018,2542273,
2018,649,Emergency Shelter and NFI,Haiti 2018,103849307,3973888
2018,649,Food Security,Haiti 2018,76628636,14348900
2018,649,Health,Haiti 2018,26597042,4284843
2018,649,Nutrition,Haiti 2018,2e+06,1399954
2018,649,Protection,Haiti 2018,7751044,
2018,649,Unspecified,Haiti 2018,0,1279247
2018,649,Water Sanitation Hygiene,Haiti 2018,6346880,3140456
2018,651,Coordination and support services,Central African Republic 2018,30900000,12059931.3333333
2018,651,Early Recovery,Central African Republic 2018,4.3e+07,4139965.5
2018,651,Education,Central African Republic 2018,27500000,5288826.83333333
2018,651,Emergency Shelter and NFI,Central African Republic 2018,49700000,7706452.16666667
2018,651,Emergency Telecommunications,Central African Republic 2018,1500000,4e+05
2018,651,Food Security,Central African Republic 2018,184600000,90520153.8333333
2018,651,Health,Central African Republic 2018,48400000,19258396.3333333
2018,651,Multi-sector,Central African Republic 2018,15600000,2847683
2018,651,Nutrition,Central African Republic 2018,19900000,15421625
2018,651,Protection,Central African Republic 2018,5.2e+07,22224068
2018,651,Unspecified,Central African Republic 2018,0,54609266
2018,651,Water Sanitation Hygiene,Central African Republic 2018,42500000,17267090.1666667
2018,652,Coordination and support services,Democratic Republic of the Congo 2018,16700000,16027460.3333333
2018,652,Education,Democratic Republic of the Congo 2018,120800000,16646379.6666667
2018,652,Emergency Shelter and NFI,Democratic Republic of the Congo 2018,148800000,23598704.8333333
2018,652,Emergency Telecommunications,Democratic Republic of the Congo 2018,1400000,868206.25
2018,652,Food Security,Democratic Republic of the Congo 2018,580100000,270055569
2018,652,Health,Democratic Republic of the Congo 2018,202300000,42415015.4166667
2018,652,Logistics,Democratic Republic of the Congo 2018,1.03e+08,27937310.6666667
2018,652,Multi-sector,Democratic Republic of the Congo 2018,100200000,56550808
2018,652,Nutrition,Democratic Republic of the Congo 2018,197700000,90766476.4166667
2018,652,Protection,Democratic Republic of the Congo 2018,105900000,53825722.8333333
2018,652,Unspecified,Democratic Republic of the Congo 2018,0,175533543
2018,652,Water Sanitation Hygiene,Democratic Republic of the Congo 2018,98300000,42648373.5833333
2018,653,Food Security,Burkina Faso 2018,23743118,32064237.5
2018,653,Multi-sector,Burkina Faso 2018,28700300,5191767
2018,653,Nutrition,Burkina Faso 2018,30327692,12133494.5
2018,653,Other,Burkina Faso 2018,7520000,
2018,653,Unspecified,Burkina Faso 2018,0,3563836
2018,654,Food Security,Senegal 2018,6753500,5205666
2018,654,Nutrition,Senegal 2018,7705090,2334491
2018,654,Other,Senegal 2018,2374434,
2018,654,Unspecified,Senegal 2018,0,
2018,655,Coordination and support services,Myanmar 2018,4e+06,9790321.33333333
2018,655,Education,Myanmar 2018,5900000,7354105.83333333
2018,655,Emergency Shelter and NFI,Myanmar 2018,17900000,10927333.6666667
2018,655,Food Security,Myanmar 2018,5.9e+07,40962338.3333333
2018,655,Health,Myanmar 2018,22800000,6407192.83333333
2018,655,Multi-sector,Myanmar 2018,0,
2018,655,Nutrition,Myanmar 2018,12300000,7001273
2018,655,Protection,Myanmar 2018,30200000,20359905
2018,655,Unspecified,Myanmar 2018,0,21235965
2018,655,Water Sanitation Hygiene,Myanmar 2018,31300000,11380397.3333333
2018,656,Camp Coordination / Management,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,131444984,42297607.5
2018,656,Coordination and support services,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,11427283,12523942
2018,656,Education,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,47319607,38755099
2018,656,Emergency Shelter and NFI,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,136626254,37466060.3333333
2018,656,Emergency Telecommunications,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,1200000,3206892.5
2018,656,Food Security,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,240856565,180086502
2018,656,Health,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,113086292,48184320.6666667
2018,656,Logistics,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,3626042,206554
2018,656,Multi-sector,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,0,21239601
2018,656,Nutrition,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,56722102,31781502
2018,656,Protection,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,71836437,50481401.5
2018,656,Unspecified,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,0,178968110
2018,656,Water Sanitation Hygiene,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2018,136688639,41929951.5
2018,657,Coordination and support services,Yemen 2018,22936390,47489059.5
2018,657,Early Recovery,Yemen 2018,59543250,26682910.8333333
2018,657,Education,Yemen 2018,75344809,61036598
2018,657,Emergency Shelter and NFI,Yemen 2018,195267386,80396215.25
2018,657,Emergency Telecommunications,Yemen 2018,2211000,333861.5
2018,657,Food Security,Yemen 2018,1351168152,1030358910.83333
2018,657,Health,Yemen 2018,593600586,302874197.416667
2018,657,Logistics,Yemen 2018,61704866,36747617
2018,657,Multi-sector,Yemen 2018,106714868,58202986
2018,657,Nutrition,Yemen 2018,210262136,176731272.833333
2018,657,Protection,Yemen 2018,130521181,97063327.25
2018,657,Unspecified,Yemen 2018,0,360679314
2018,657,Water Sanitation Hygiene,Yemen 2018,298793176,211443861.083333
2018,659,Food Security,DPR Korea Needs and Priorities 2018,26104934,7552027
2018,659,Health,DPR Korea Needs and Priorities 2018,36897685,6267921
2018,659,Nutrition,DPR Korea Needs and Priorities 2018,38627531,16532534
2018,659,Unspecified,DPR Korea Needs and Priorities 2018,0,102669
2018,659,Water Sanitation Hygiene,DPR Korea Needs and Priorities 2018,9586850,2061013
2018,660,Agriculture,Ethiopia Humanitarian and Disaster Resilience Plan 2018,83300000,1199995
2018,660,Education,Ethiopia Humanitarian and Disaster Resilience Plan 2018,29186102,5824316
2018,660,Emergency Shelter and NFI,Ethiopia Humanitarian and Disaster Resilience Plan 2018,132212500,35801849.9166667
2018,660,Food Security,Ethiopia Humanitarian and Disaster Resilience Plan 2018,445389261,401091606.666667
2018,660,Health,Ethiopia Humanitarian and Disaster Resilience Plan 2018,114781476,24592232.5
2018,660,Logistics,Ethiopia Humanitarian and Disaster Resilience Plan 2018,410480,3899571
2018,660,Multi-sector,Ethiopia Humanitarian and Disaster Resilience Plan 2018,0,127877
2018,660,Nutrition,Ethiopia Humanitarian and Disaster Resilience Plan 2018,218264801,83521348.25
2018,660,Protection,Ethiopia Humanitarian and Disaster Resilience Plan 2018,11374000,13428103.0833333
2018,660,Unspecified,Ethiopia Humanitarian and Disaster Resilience Plan 2018,0,36865061
2018,660,Water Sanitation Hygiene,Ethiopia Humanitarian and Disaster Resilience Plan 2018,142300000,49092297.3333333
2018,661,Food Security,Mauritania 2018,5.8e+07,38496114
2018,661,Health,Mauritania 2018,1500000,261848.666666667
2018,661,Logistics,Mauritania 2018,3500000,3109632
2018,661,Multi-sector,Mauritania 2018,3.8e+07,9754560
2018,661,Nutrition,Mauritania 2018,1.5e+07,10648827.6666667
2018,661,Unspecified,Mauritania 2018,0,4244268
2018,665,Camp Coordination / Management,Philippines: Marawi Conflict 2018,2902901,
2018,665,Coordination and support services,Philippines: Marawi Conflict 2018,4e+05,606086.5
2018,665,Early Recovery,Philippines: Marawi Conflict 2018,5205791,991923
2018,665,Education,Philippines: Marawi Conflict 2018,4572301,
2018,665,Emergency Shelter and NFI,Philippines: Marawi Conflict 2018,2650000,241055.5
2018,665,Food Security,Philippines: Marawi Conflict 2018,25963441,6054491
2018,665,Health,Philippines: Marawi Conflict 2018,5029125,1336017
2018,665,Multi-sector,Philippines: Marawi Conflict 2018,385858,
2018,665,Nutrition,Philippines: Marawi Conflict 2018,1993950,453766
2018,665,Protection,Philippines: Marawi Conflict 2018,6892150,1464222
2018,665,Unspecified,Philippines: Marawi Conflict 2018,0,0
2018,665,Water Sanitation Hygiene,Philippines: Marawi Conflict 2018,5008635,3280943.5
2018,669,Camp Coordination / Management,Indonesia: Central Sulawesi Earthquake Response Plan 2018,6e+06,1499638.5
2018,669,Early Recovery,Indonesia: Central Sulawesi Earthquake Response Plan 2018,2e+06,1284762
2018,669,Education,Indonesia: Central Sulawesi Earthquake Response Plan 2018,1300000,1776332
2018,669,Emergency Shelter and NFI,Indonesia: Central Sulawesi Earthquake Response Plan 2018,15600000,3770623.33333333
2018,669,Food Security,Indonesia: Central Sulawesi Earthquake Response Plan 2018,3500000,2869305
2018,669,Health,Indonesia: Central Sulawesi Earthquake Response Plan 2018,7e+06,3978002
2018,669,Logistics,Indonesia: Central Sulawesi Earthquake Response Plan 2018,6500000,2252962
2018,669,Multi-sector,Indonesia: Central Sulawesi Earthquake Response Plan 2018,0,526712
2018,669,Protection,Indonesia: Central Sulawesi Earthquake Response Plan 2018,3600000,2399952.83333333
2018,669,Unspecified,Indonesia: Central Sulawesi Earthquake Response Plan 2018,0,5065380
2018,669,Water Sanitation Hygiene,Indonesia: Central Sulawesi Earthquake Response Plan 2018,5e+06,5268320.33333333
2019,662,Coordination and support services,Ukraine Humanitarian Response Plan (HRP) 2019,5713555,4507739
2019,662,Education,Ukraine Humanitarian Response Plan (HRP) 2019,6518020,2780233.33333333
2019,662,Emergency Shelter and NFI,Ukraine Humanitarian Response Plan (HRP) 2019,27002790,6558917.4
2019,662,Food Security,Ukraine Humanitarian Response Plan (HRP) 2019,19490580,10364472.4
2019,662,Health,Ukraine Humanitarian Response Plan (HRP) 2019,18132889,4290785
2019,662,Multi-sector,Ukraine Humanitarian Response Plan (HRP) 2019,6612034,1640063
2019,662,Protection,Ukraine Humanitarian Response Plan (HRP) 2019,47975199,22389382.1333333
2019,662,Unspecified,Ukraine Humanitarian Response Plan (HRP) 2019,0,26564691
2019,662,Water Sanitation Hygiene,Ukraine Humanitarian Response Plan (HRP) 2019,32957471,4665657.06666667
2019,663,Camp Coordination / Management,Syria Humanitarian Response Plan 2019,48605651,26652017
2019,663,Coordination and support services,Syria Humanitarian Response Plan 2019,52866753,29238446
2019,663,Early Recovery,Syria Humanitarian Response Plan 2019,173630051,31078212.8333333
2019,663,Education,Syria Humanitarian Response Plan 2019,251114371,107590692.583333
2019,663,Emergency Shelter and NFI,Syria Humanitarian Response Plan 2019,526607166,93947744.1666667
2019,663,Emergency Telecommunications,Syria Humanitarian Response Plan 2019,831423,1440713
2019,663,Food Security,Syria Humanitarian Response Plan 2019,1074225528,3534587.5
2019,663,Health,Syria Humanitarian Response Plan 2019,449133271,183272122.25
2019,663,Logistics,Syria Humanitarian Response Plan 2019,6428472,4289339
2019,663,Multi-sector,Syria Humanitarian Response Plan 2019,0,
2019,663,Nutrition,Syria Humanitarian Response Plan 2019,83187823,62887778.0833333
2019,663,Protection,Syria Humanitarian Response Plan 2019,352576214,113258067.916667
2019,663,Unspecified,Syria Humanitarian Response Plan 2019,0,556366520
2019,663,Water Sanitation Hygiene,Syria Humanitarian Response Plan 2019,274209473,108054404.666667
2019,664,Coordination and support services,occupied Palestinian territory 2019  (part of 2018-2020 HRP),18489828,4291604
2019,664,Education,occupied Palestinian territory 2019  (part of 2018-2020 HRP),15318372,6721280
2019,664,Emergency Shelter and NFI,occupied Palestinian territory 2019  (part of 2018-2020 HRP),14294447,11165685.5
2019,664,Food Security,occupied Palestinian territory 2019  (part of 2018-2020 HRP),205651973,141432589
2019,664,Health,occupied Palestinian territory 2019  (part of 2018-2020 HRP),31496553,15210309.8333333
2019,664,Multi-sector,occupied Palestinian territory 2019  (part of 2018-2020 HRP),0,
2019,664,Protection,occupied Palestinian territory 2019  (part of 2018-2020 HRP),35883244,25944550.5
2019,664,Unspecified,occupied Palestinian territory 2019  (part of 2018-2020 HRP),0,45362302
2019,664,Water Sanitation Hygiene,occupied Palestinian territory 2019  (part of 2018-2020 HRP),29454854,20922754.3333333
2019,667,Camp Coordination / Management,Somalia 2019,31854913,8430063.5
2019,667,Coordination and support services,Somalia 2019,32372588,21694894
2019,667,Education,Somalia 2019,39622179,21235469.25
2019,667,Emergency Shelter and NFI,Somalia 2019,64321940,10909991.5833333
2019,667,Food Security,Somalia 2019,352516970,370759805.583333
2019,667,Health,Somalia 2019,93203762,39709065
2019,667,Multi-sector,Somalia 2019,97294455,24959277
2019,667,Nutrition,Somalia 2019,178469916,139666072.5
2019,667,Protection,Somalia 2019,83894074,21136754.5
2019,667,Unspecified,Somalia 2019,0,198578873
2019,667,Water Sanitation Hygiene,Somalia 2019,103902306,40623749.0833333
2019,668,Coordination and support services,Chad 2019,20360543,1745742
2019,668,Education,Chad 2019,17446746,5844753
2019,668,Emergency Shelter and NFI,Chad 2019,3331740,145687.75
2019,668,Food Security,Chad 2019,88823632,106524163.416667
2019,668,Health,Chad 2019,28680586,7155849.16666667
2019,668,Multi-sector,Chad 2019,211849303,25399069
2019,668,Nutrition,Chad 2019,69347924,47505240.6666667
2019,668,Protection,Chad 2019,16777612,2574273.58333333
2019,668,Unspecified,Chad 2019,0,66895110
2019,668,Water Sanitation Hygiene,Chad 2019,20023109,4333804.08333333
2019,670,Coordination and support services,Sudan 2019,13187000,3688287
2019,670,Early Recovery,Sudan 2019,26871671,19081926.8
2019,670,Education,Sudan 2019,47946374,29243088.8333333
2019,670,Emergency Shelter and NFI,Sudan 2019,24807368,20050619.8
2019,670,Food Security,Sudan 2019,314590186,153970551.966667
2019,670,Health,Sudan 2019,70784663,44903109.9
2019,670,Logistics,Sudan 2019,22170000,21859030
2019,670,Multi-sector,Sudan 2019,411460670,77001595
2019,670,Nutrition,Sudan 2019,110029904,50100742.45
2019,670,Protection,Sudan 2019,56581100,47908220.1666667
2019,670,Unspecified,Sudan 2019,0,95276368
2019,670,Water Sanitation Hygiene,Sudan 2019,50710554,39452025.0833333
2019,671,Camp Coordination / Management,Iraq 2019,34470434,14871060
2019,671,Coordination and support services,Iraq 2019,14988682,15548825
2019,671,Early Recovery,Iraq 2019,9337939,27451712.5
2019,671,Education,Iraq 2019,35540043,25523770.5
2019,671,Emergency Shelter and NFI,Iraq 2019,74354054,76990421.6666667
2019,671,Food Security,Iraq 2019,114281363,44536797.6666667
2019,671,Health,Iraq 2019,60930340,80797983.3333334
2019,671,Multi-sector,Iraq 2019,115727709,51202189
2019,671,Protection,Iraq 2019,166701432,153398889.833333
2019,671,Unspecified,Iraq 2019,0,-2445209365
2019,671,Water Sanitation Hygiene,Iraq 2019,75522143,75830793.5
2019,672,Coordination and support services,Afghanistan 2019,18937000,10386453.5
2019,672,Education,Afghanistan 2019,33817269,27976626
2019,672,Emergency Shelter and NFI,Afghanistan 2019,48320965,37409188.3333333
2019,672,Food Security,Afghanistan 2019,278792460,144083910.833333
2019,672,Health,Afghanistan 2019,51379002,45497467.8333333
2019,672,Logistics,Afghanistan 2019,17802526,2739421
2019,672,Multi-sector,Afghanistan 2019,23930000,4930693.33333333
2019,672,Nutrition,Afghanistan 2019,57600000,47064556.8333333
2019,672,Protection,Afghanistan 2019,44747161,19764462.8333333
2019,672,Unspecified,Afghanistan 2019,0,92244576
2019,672,Water Sanitation Hygiene,Afghanistan 2019,36433603,30752121.5
2019,673,Coordination and support services,Democratic Republic of the Congo 2019,16700000,18018756
2019,673,Education,Democratic Republic of the Congo 2019,55600000,14785458.8333333
2019,673,Emergency Shelter and NFI,Democratic Republic of the Congo 2019,142700000,23192524.6
2019,673,Food Security,Democratic Republic of the Congo 2019,647900000,275359056.4
2019,673,Health,Democratic Republic of the Congo 2019,212300000,72687230.7
2019,673,Logistics,Democratic Republic of the Congo 2019,44800000,26751131
2019,673,Multi-sector,Democratic Republic of the Congo 2019,147800000,2518813
2019,673,Nutrition,Democratic Republic of the Congo 2019,1.6e+08,68275585.2333333
2019,673,Protection,Democratic Republic of the Congo 2019,94900000,44488745.9333333
2019,673,Unspecified,Democratic Republic of the Congo 2019,0,140470935
2019,673,Water Sanitation Hygiene,Democratic Republic of the Congo 2019,1.31e+08,46306458.1
2019,674,Coordination and support services,Central African Republic 2019,33800000,9943100.5
2019,674,Early Recovery,Central African Republic 2019,12400000,12746547.75
2019,674,Education,Central African Republic 2019,4e+07,14499001
