"","region","ID","conflict","type","start","intensity_2020","intensity_2019","intensity_2018","intensity_2017","intensity_2016","autonomy","international_power","national_power","other","resources","secession","subnational_predominance","system_ideology","territory","items"
"1","Europe",11111,"Albania (opposition)","intrastate",2017,3,3,3,3,0,0,0,1,0,0,0,0,1,0,"national power;system/ideology"
"2","Europe",10048,"Armenia (opposition)","intrastate",2003,3,1,3,2,3,0,0,1,0,0,0,0,0,0,"national power"
"3","Europe",10192,"Armenia – Azerbaijan","interstate",1987,5,3,3,3,3,0,0,0,0,0,0,0,0,1,"territory"
"4","Europe",10022,"Armenia – Turkey","interstate",1991,2,1,1,1,1,0,1,0,1,0,0,0,0,0,"iternational power;other"
"5","Europe",10046,"Azerbaijan (Nagorno-Karabakh)","intrastate",1988,5,3,3,3,3,0,0,0,0,0,1,0,0,0,"secession"
"6","Europe",10012,"Azerbaijan (opposition)","intrastate",2003,3,2,2,3,2,0,0,1,0,0,0,0,1,0,"national power;system/ideology"
"7","Europe",10024,"Belarus (opposition)","intrastate",1994,3,2,2,3,1,0,0,1,0,0,0,0,1,0,"national power;system/ideology"
"8","Europe",10102,"Bosnia and Herzegovina (Republika Srpska)","intrastate",1995,1,2,2,2,1,0,0,0,0,0,1,0,0,0,"secession"
"9","Europe",11113,"Bulgaria (opposition)","intrastate",2020,3,0,0,0,0,0,0,1,0,0,0,0,1,0,"national power;system/ideology"
"10","Europe",11052,"Croatia (Serb minority – ethnic Croatians)","substate",1991,2,3,1,1,1,0,0,0,0,0,0,1,0,0,"subnational predominance"
"11","Europe",10103,"Croatia – Slovenia (border)","interstate",1991,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"territory"
"12","Europe",10201,"Cyprus (Northern Cyprus°)","intrastate",1963,2,2,2,2,2,0,0,0,0,1,1,0,0,0,"resources;secession"
"13","Europe",10026,"Cyprus – Turkey","interstate",2005,2,2,2,2,2,0,1,0,0,0,0,0,0,1,"iternational power;territory"
"14","Europe",10212,"Cyprus, Greece et al. – Turkey (Eastern Mediterranean)","interstate",2020,2,0,0,0,0,0,1,0,0,1,0,0,1,0,"iternational power;resources;system/ideology"
"15","Europe",10037,"Estonia (Russian-speaking minority)","intrastate",1991,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"autonomy"
"16","Europe",10038,"Estonia – Russia","interstate",1994,2,1,1,2,2,0,1,0,0,0,0,0,0,1,"iternational power;territory"
"17","Europe",10073,"EU, USA et. al – Russia","interstate",2007,2,2,2,2,2,0,1,0,0,0,0,0,1,0,"iternational power;system/ideology"
"18","Europe",10190,"France (Corsican nationalists / Corsica)","intrastate",1975,2,2,2,1,3,1,0,0,0,0,1,0,0,0,"autonomy;secession"
"19","Europe",10002,"Georgia (Abkhazia°)","intrastate",1989,2,3,2,2,3,0,0,0,0,0,1,0,0,0,"secession"
"20","Europe",10045,"Georgia (opposition)","intrastate",2007,3,3,3,3,3,0,0,1,0,0,0,0,0,0,"national power"
"21","Europe",10003,"Georgia (South Ossetia°)","intrastate",1989,3,3,3,2,2,0,0,0,0,0,1,1,0,0,"secession;subnational predominance"
"22","Europe",10001,"Georgia – Russia","interstate",1992,3,2,2,2,2,0,1,0,0,0,0,0,0,0,"iternational power"
"23","Europe",10004,"Germany (xenophobes)","intrastate",2014,3,3,3,3,3,0,0,0,0,0,0,0,1,0,"system/ideology"
"24","Europe",11089,"Greece (left-wing militants – right-wing militants)","substate",1976,2,2,3,3,3,0,0,0,0,0,0,0,1,0,"system/ideology"
"25","Europe",11088,"Greece (right-wing militants)","intrastate",1985,3,2,3,3,3,0,0,0,0,0,0,0,1,0,"system/ideology"
"26","Europe",10074,"Greece (social protests, left-wing militants)","intrastate",2010,3,3,3,3,3,0,0,0,0,0,0,0,1,0,"system/ideology"
"27","Europe",10202,"Greece – Turkey","interstate",1973,2,2,2,-99,-99,0,0,0,1,0,0,0,0,1,"other;territory"
"28","Europe",10211,"Hungary (right-wings – minorities)","substate",2008,2,1,1,2,2,0,0,0,0,0,0,1,1,0,"subnational predominance;system/ideology"
"29","Europe",10203,"Hungary – Romania, Slovakia, Ukraine (Hungarian minorities)","transstate",1989,2,2,2,1,1,1,1,0,0,0,0,0,0,0,"autonomy;iternational power"
"30","Europe",12005,"Kosovo° (opposition)","intrastate",2015,1,1,3,3,3,0,0,1,0,0,0,1,1,0,"national power;subnational predominance;system/ideology"
"31","Europe",10131,"Kosovo° – Serbia","interstate",1989,1,2,2,2,1,0,0,0,0,0,1,0,0,0,"secession"
"32","Europe",10182,"Latvia (Russian-speaking minority)","intrastate",1991,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"autonomy"
